Price,Close,High,Low,Open,Volume,5_Month_MA,10_Month_MA,20_Month_MA,30_Month_MA,60_Month_MA,120_Month_MA,233_Month_MA,5_Month_MA_Slope,10_Month_MA_Slope,20_Month_MA_Slope,30_Month_MA_Slope,60_Month_MA_Slope,120_Month_MA_Slope,233_Month_MA_Slope
Ticker,399001.SZ,399001.SZ,399001.SZ,399001.SZ,399001.SZ,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2005-08-01,2950.396728515625,3147.5346466869923,2869.9076440879526,2886.7075038540984,791300,2911.279345703125,3044.194921875,3286.728649902344,3276.869620768229,3519.334757486979,,,-43.98359375000018,-26.591723632812318,-26.468212890624727,-3.560302734375,-31.264147949219023,,
2005-09-01,2903.07763671875,3075.045683972313,2841.168172921406,2957.506959571528,521400,2860.56796875,3011.9052978515624,3246.04111328125,3270.244694010417,3492.325887044271,,,-50.71137695312473,-32.28962402343768,-40.68753662109384,-6.624926757812318,-27.00887044270803,,
2005-10-01,2662.26025390625,2902.7175246269053,2609.9707998540084,2902.177491606252,305500,2832.694287109375,2971.377734375,3183.1603271484373,3250.2962565104167,3460.4774088541667,,,-27.87368164062491,-40.52756347656259,-62.88078613281277,-19.948437500000182,-31.848478190104288,,
2005-11-01,2676.820068359375,2752.109018669292,2593.30098576795,2667.5201238605614,371400,2816.01845703125,2934.5151611328124,3113.9966064453124,3222.7352294921875,3424.5693155924478,,,-16.675830078125273,-36.86257324218741,-69.16372070312491,-27.561027018229197,-35.90809326171893,,
2005-12-01,2863.578125,2898.127543815685,2634.6505060407985,2675.200101982979,523300,2811.2265625,2883.2447509765625,3076.51904296875,3210.6953694661456,3393.0840047200522,,,-4.791894531249909,-51.27041015624991,-37.47756347656241,-12.039860026041879,-31.48531087239553,,
2006-01-01,3242.313720703125,3242.7736764801775,2873.497790252962,2873.497790252962,636700,2869.6099609375,2890.4446533203127,3059.754248046875,3208.159733072917,3368.06728515625,,,58.38339843750009,7.199902343750182,-16.76479492187491,-2.5356363932287422,-25.016719563802326,,
2006-02-01,3351.602294921875,3401.401785108506,3249.673506699593,3249.783612886317,642400,2959.314892578125,2909.9414306640624,3063.543701171875,3213.4686604817707,3349.709151204427,,,89.70493164062509,19.496777343749727,3.789453124999909,5.308927408853833,-18.358133951822765,,
2006-03-01,3516.3603515625,3577.309861336407,3160.4344232512058,3355.5323265150378,811700,3130.134912109375,2981.414599609375,3075.1950561523436,3228.851814778646,3325.5495808919272,,,170.82001953124973,71.47316894531241,11.651354980468568,15.383154296875091,-24.15957031249991,,
2006-04-01,3848.056884765625,3875.2965691039244,3524.12033695983,3524.12033695983,1399100,3364.382275390625,3090.2003662109373,3108.8101806640625,3251.5435546875,3309.6416015625,,,234.24736328125027,108.7857666015625,33.61512451171893,22.691739908854288,-15.907979329427235,,
2006-05-01,4292.0517578125,4463.029812616574,3872.7564313576613,3872.7564313576613,1798100,3650.077001953125,3230.6517822265623,3150.7192138671876,3285.6818359375,3300.2188639322917,,,285.6947265624999,140.451416015625,41.90903320312509,34.13828125000009,-9.422737630208303,,
2006-06-01,4301.61181640625,4360.950993325615,3904.2761936191123,4272.30208718386,1219400,3861.93662109375,3365.773291015625,3204.9841064453126,3313.076863606771,3293.298274739583,,,211.859619140625,135.12150878906277,54.264892578125,27.395027669270803,-6.920589192708576,,
2006-07-01,3946.85546875,4403.880597010778,3936.7056806722935,4302.1517618025455,935700,3980.987255859375,3470.15107421875,3241.028186035156,3320.74443359375,3291.4297892252603,,,119.05063476562509,104.37778320312509,36.04407958984348,7.667569986978833,-1.868485514322856,,
